project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
Clear Spring Ranch PV Project	60511.0	UPV	38.601851	-104.693851	West (non-ISO)	CO	8	Colorado	2016	13900.0	10000.0	1.39	Tracking	['Single']	-1.0	181.0	5.0011926941	0.2766278195723232	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39222	Western	distribution-primary	Western
Open Range Solar Center	60332.0	UPV	43.797751	-117.062291	West (non-ISO)	OR	41	Oregon	2016	13100.0	10000.0	1.31	Tracking	['Single']	-1.0	180.0	4.5546977169	0.254302467749582	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39421	Western	distribution-primary	Western
Vale Air Solar Center	60335.0	UPV	43.965061	-117.257661	West (non-ISO)	OR	41	Oregon	2016	13091.0	10000.0	1.3091	Tracking	['Single']	-1.0	180.0	4.5798358447	0.2455327556952865	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35762	Western	distribution-primary	Western
Thunderegg Solar Center	60334.0	UPV	43.932841	-116.988441	West (non-ISO)	OR	41	Oregon	2016	13091.0	10000.0	1.3091	Tracking	['Single']	-1.0	180.0	4.6049525114	0.249932528320483	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35764	Western	distribution-primary	Western
Mohave Electric At Fort Mohave AZ (Mohave Electric Cooperative at Joy Lane)	59819.0	UPV	34.984021	-114.55627	West (non-ISO)	AZ	4	Arizona	2016	13810.0	10000.0	1.381	Tracking	['Single']	-1.0	180.0	5.6959847032		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	True	38023	Western	distribution-primary	Western
Mohave Electric At Fort Mohave AZ (Mohave Electric Cooperative at Joy Lane)	63554.0	UPV	34.984021	-114.55627	West (non-ISO)	AZ	4	Arizona	2016	13810.0	10000.0	1.381	Tracking	['Single']	-1.0	180.0	5.6959847032		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	True	38023	Western	distribution-primary	Western
Collier (Oregon Solar Land Holding, OSLH)	60976.0	UPV	44.061001	-121.228001	West (non-ISO)	OR	41	Oregon	2016	13770.0	9900.0	1.3909090909090909	Tracking	['Single']	-1.0	180.0	4.5099561644	0.2462290157734239	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35734	Western	distribution-primary	Western
NorWest Energy 2 (NEFF)	60548.0	UPV	44.067651	-121.228991	West (non-ISO)	OR	41	Oregon	2016	13900.0	9900.0	1.404040404040404	Tracking	['Single']	-1.0	180.0	4.5099561644	0.248749902229454	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35734	Western	distribution-primary	Western
Leavenworth Greenworks (Shoreham)	59276.0	UPV	40.942311	-72.890291	NYISO	NY	36	New York	2016	14250.0	9500.0	1.5	Fixed Tilt	['Fixed']	25.0	181.0	3.9449787671	0.2008082713802245	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	3289	Eastern	distribution-primary	Eastern
Lumberton Solar		UPV	39.936761	-74.843041	PJM	NJ	34	New Jersey	2016	-1.0	9456.0	-1.0	Fixed Tilt	['Fixed']		180.0	4.027356621		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5255	Eastern	distribution-secondary	Eastern
Hyline Solar Center	60331.0	UPV	44.150791	-117.000981	West (non-ISO)	OR	41	Oregon	2016	11700.0	9000.0	1.2999999999999998	Tracking	['Single']	-1.0	180.0	4.5223600457	0.2481113266683855	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35764	Western	distribution-primary	Western
Delilah Road Landfill (KDC Solar RTC LLC or Seashore Solar)	58951.0	UPV	39.416251	-74.545141	PJM	NJ	34	New Jersey	2016	10660.0	8500.0	1.2541176470588236	Fixed Tilt	['Fixed']	15.0	180.0	4.1181244292	0.1938433955811533	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5117	Eastern	distribution-primary	Eastern
Frankford Solar	60732.0	UPV	41.166566	-74.701651	PJM	NJ	34	New Jersey	2016	9840.0	8160.0	1.2058823529411764	Fixed Tilt	['Fixed']	25.0	180.0	3.8637952055	0.1492038976930193	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5844	Eastern	distribution-primary	Eastern
Selmer II (Selmer North)	60556.0	UPV	35.167661	-88.644991	Southeast (non-ISO)	TN	47	Tennessee	2016	9963.0	8000.0	1.245375	Tracking	['Single']	-1.0	179.0	4.3698785388	0.2179949560637439	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	16638	Eastern	distribution-primary	Eastern
PSEG Lake County Solar Energy Center (Black Cap Solar II, BC Solar )	60616.0	UPV	42.174521	-120.361771	West (non-ISO)	OR	41	Oregon	2016	10454.6	8000.0	1.306825	Tracking	['Single']	-1.0	180.0	4.7337013699	0.2608069407796242	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35744	Western	distribution-primary	Western
Florence Solar	60990.0	UPV	40.096021	-74.786441	PJM	NJ	34	New Jersey	2016	9930.0	7920.0	1.253787878787879	Fixed Tilt	['Fixed']	15.0	180.0	4.0069723744	0.1697488135528501	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	6165	Eastern	distribution-primary	Eastern
PSEG ILR Landfill Solar	60375.0	UPV	40.523551	-74.429781	PJM	NJ	34	New Jersey	2016	7750.0	7700.0	1.0064935064935066	Fixed Tilt	['Fixed']	10.0	180.0	3.9615627854	0.1394098422225527	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5821	Eastern	distribution-primary	Eastern
