name	eia_id	source	sector	chp	latitude	longitude	fips	state	state_abbr	zip	capacity	collocated_with_solar	solar_mw	period	sub_id	interconnect
Crane Battery Energy Storage System	64207	batteries	utility	False	38.813511	-86.886417	18101	Indiana	IN	47522	5.0	False	0.0	202108	21943	Eastern
Alvin	64293	batteries	ipp	False	29.433245	-95.249367	48039	Texas	TX	77511	9.9	False	0.0	202108	40904	Texas
Odessa	64294	batteries	ipp	False	31.871315	-102.398409	48135	Texas	TX	79766	9.9	False	0.0	202108	39807	Texas
Angleton	64295	batteries	ipp	False	29.167065	-95.440647	48039	Texas	TX	77515	9.9	False	0.0	202108	40814	Texas
Brazoria	64296	batteries	ipp	False	29.062635	-95.577587	48039	Texas	TX	77422	9.9	False	0.0	202108	40847	Texas
Heights	64297	batteries	ipp	False	29.389595	-94.949867	48167	Texas	TX	77590	9.9	False	0.0	202108	40760	Texas
Magnolia TX	64298	batteries	ipp	False	29.488335	-95.133947	48167	Texas	TX	77573	9.9	False	0.0	202108	40718	Texas
Dickinson	64314	batteries	ipp	False	29.461255	-95.056987	48167	Texas	TX	77539	9.9	False	0.0	202108	40714	Texas
Loop 463	64315	batteries	ipp	False	28.816475	-97.074867	48469	Texas	TX	77905	9.9	False	0.0	202108	40700	Texas
Sweeny	64321	batteries	ipp	False	29.055615	-95.687237	48039	Texas	TX	77480	9.9	False	0.0	202108	40775	Texas
Decorah Battery	64375	batteries	utility	False	43.324	-91.793	19191	Iowa	IA	52101	2.5	False	0.0	202108	27065	Eastern
TX7 Flat Top	64423	batteries	ipp	False	31.19791	-103.36067	48389	Texas	TX	79772	9.9	False	0.0	202108	39771	Texas
TX8 Worsham	64424	batteries	ipp	False	31.35658	-103.33645	48371	Texas	TX	79772	9.9	False	0.0	202108	39770	Texas
TX2 Port Lavaca	64425	batteries	ipp	False	28.58673	-96.68376	48057	Texas	TX	77979	9.9	False	0.0	202108	40894	Texas
Grissom Solar, LLC	64450	batteries	ipp	False	36.23891	-77.897552	37083	North Carolina	NC	27823	10.0	True	5.0	202108	10751	Eastern
Old Cedar Solar Energy Storage	64522	batteries	utility	False	35.713	-79.788	37151	North Carolina	NC	27203	1.3	True	1.0	202108	10979	Eastern
Gambit Energy Storage - Angleton Storage	64528	batteries	ipp	False	29.16801	-95.445062	48039	Texas	TX	77515	100.0	False	0.0	202108	40814	Texas
Wynwood Energy Storage	64546	batteries	utility	False	25.798978	-80.197098	12086	Florida	FL	33127	10.0	False	0.0	202108	14297	Eastern
SEPV Sierra	64611	batteries	ipp	False	34.733011	-118.138525	6037	California	CA	93534	6.0	True	2.3	202108	37059	Western
Rumford ESS	64763	batteries	ipp	False	44.532169	-70.518959	23017	Maine	ME	4276	4.9	False	0.0	202108	508	Eastern
Madison BTM	64764	batteries	ipp	False	44.804	-69.841	23025	Maine	ME	4950	1.5	False	0.0	202108	385	Eastern
Madison ESS	64765	batteries	ipp	False	44.793	-69.876	23025	Maine	ME	4950	4.9	False	0.0	202108	391	Eastern
